rank,name_with_owner,owner,repo_name,stars,merged_prs,closed_prs,total_prs
108,tailwindlabs/tailwindcss,tailwindlabs,tailwindcss,94843,3362,863,4225
109,ryanmcdermott/clean-code-javascript,ryanmcdermott,clean-code-javascript,94300,149,111,260
110,puppeteer/puppeteer,puppeteer,puppeteer,94247,5948,1409,7357
111,iluwatar/java-design-patterns,iluwatar,java-design-patterns,93970,1520,814,2334
112,florinpop17/app-ideas,florinpop17,app-ideas,93706,151,252,403
113,msitarzewski/agency-agents,msitarzewski,agency-agents,93576,119,139,258
114,nvm-sh/nvm,nvm-sh,nvm,93224,750,410,1160
115,github/spec-kit,github,spec-kit,92680,500,349,849
116,hacksider/Deep-Live-Cam,hacksider,Deep-Live-Cam,92650,111,205,316
117,browser-use/browser-use,browser-use,browser-use,92263,1761,981,2742
118,rasbt/LLMs-from-scratch,rasbt,LLMs-from-scratch,91985,492,74,566
119,PanJiaChen/vue-element-admin,PanJiaChen,vue-element-admin,90275,311,179,490
120,ruanyf/weekly,ruanyf,weekly,90251,110,40,150
121,storybookjs/storybook,storybookjs,storybook,89851,12565,3155,15720
122,garrytan/gstack,garrytan,gstack,89775,223,437,660
123,oven-sh/bun,oven-sh,bun,89648,7747,3221,10968
124,bitcoin/bitcoin,bitcoin,bitcoin,89017,16405,7659,24064
125,gin-gonic/gin,gin-gonic,gin,88420,1231,860,2091
126,microsoft/playwright,microsoft,playwright,88031,16880,2788,19668
127,gohugoio/hugo,gohugoio,hugo,87913,3340,3119,6459
128,ChatGPTNextWeb/NextChat,ChatGPTNextWeb,NextChat,87897,893,1658,2551
129,mermaid-js/mermaid,mermaid-js,mermaid,87819,2678,614,3292
130,django/django,django,django,87410,10468,10270,20738
131,opencv/opencv,opencv,opencv,87345,13627,3383,17010
132,home-assistant/core,home-assistant,core,86919,85204,13171,98375
133,3b1b/manim,3b1b,manim,86589,665,253,918
134,sveltejs/svelte,sveltejs,svelte,86475,6637,1430,8067
135,punkpeye/awesome-mcp-servers,punkpeye,awesome-mcp-servers,86298,2253,2109,4362
