status,n,median_files_changed,median_lines_added,median_lines_removed,median_analysis_time_hours,median_body_length,median_participants_count,median_comments_count,median_reviews_count
MERGED,5163,2.0,21.0,5.0,22.8439,854.0,2.0,1.0,2.0
CLOSED,1558,1.0,16.0,1.0,89.3526,809.5,2.0,2.0,1.0
